
PHP CODE SNIFFER VIOLATION SOURCE SUMMARY
-----------------------------------------------------------------------------------------------------
    STANDARD  CATEGORY            SNIFF                                                         COUNT
-----------------------------------------------------------------------------------------------------
[x] Drupal    White space         Scope indent incorrect exact                                  30682
[x] Drupal    Array               Disallow long array syntax found                              7151
[x] Generic   PHP                 Upper case constant found                                     4933
[x] Squiz     White space         Superfluous whitespace end line                               4347
[x] Drupal    Array               Array array indentation                                       3727
[x] Drupal    Formatting          Multiple statement alignment not same                         2828
[x] Drupal    Commenting          Inline comment invalid end char                               2806
[x] Drupal    Commenting          Inline comment no space before                                2400
[x] Generic   White space         Disallow tab indent non indent tabs used                      2264
[x] Generic   White space         Disallow tab indent tabs used                                 2243
[x] Drupal    White space         Comma no space                                                2066
[x] Drupal    White space         Operator spacing no space before                              1964
[x] Drupal    White space         Operator spacing no space after                               1913
[ ] Drupal    Commenting          Function comment missing param comment                        1528
[x] Drupal    Control structures  Control signature space after close parenthesis               1481
[ ] Drupal    Commenting          Doc comment missing short                                     1240
[x] Generic   Functions           Opening function brace kernighan ritchie brace on new line    1171
[ ] Drupal    Commenting          Function comment missing return comment                       1168
[x] Drupal    Commenting          Inline comment not capital                                    1138
[x] Drupal    Array               Array comma last item                                         1092
[ ] Drupal    Files               Line length too long                                          1063
[ ] Drupal    Files               Txt file line length too long                                 1047
[x] Squiz     Strings             Concatenation spacing padding found                           1027
[x] Drupal    Control structures  Control signature newline after close brace                   1021
[x] Drupal    Control structures  Control signature space after keyword                         996
[x] Drupal    Commenting          Doc comment short full stop                                   898
[x] Drupal    White space         Close bracket spacing closing whitespace                      843
[x] Drupal    Commenting          Function comment missing                                      799
[x] Drupal    White space         Open bracket spacing opening whitespace                       750
[x] Squiz     White space         Function spacing after                                        692
[x] Drupal    Classes             Unused use statement unused use                               678
[x] PEAR      Functions           Function call signature space before open bracket             675
[ ] Squiz     PHP                 Non executable code unreachable                               674
[x] Squiz     Arrays              Array declaration no space before double arrow                629
[ ] Drupal    Naming conventions  Valid variable name lower start                               613
[x] Squiz     Arrays              Array declaration no space after double arrow                 578
[x] Drupal    Commenting          File comment namespace no file doc                            546
[x] Drupal    White space         Object operator indent indent                                 520
[x] Drupal    Control structures  Inline control structure not allowed                          490
[x] Drupal    Classes             Fully qualified namespace use statement missing               482
[x] Drupal    Commenting          Doc comment tag value indent                                  466
[ ] Drupal    Array               Array long line declaration                                   464
[x] Squiz     CSS                 Colon spacing none after                                      413
[x] Drupal    Commenting          Variable comment incorrect var type                           404
[x] Drupal    Commenting          Doc comment content after open                                404
[x] Drupal    Scope               Method scope missing                                          385
[x] Drupal    Commenting          Inline comment spacing after                                  381
[x] Drupal    Commenting          Post statement comment found                                  375
[x] Drupal    Commenting          Doc comment tag group spacing                                 347
[x] Drupal    White space         Scope indent incorrect                                        342
