
PHP CODE SNIFFER REPORT SUMMARY
------------------------------------------------------------------------------------------------------------------------
FILE                                                                                                    ERRORS  WARNINGS
------------------------------------------------------------------------------------------------------------------------
/home/ashish/www/tvaudit/docroot/modules/custom/third_party_keys/third_party_keys.module                51      0
/home/ashish/www/tvaudit/docroot/modules/custom/third_party_keys/src/Form/ThirdPartyKeysForm.php        0       1
/home/ashish/www/tvaudit/docroot/modules/custom/jwplayer_domain_key/src/Form/JwplayerDomainForm.php     12      0
/home/ashish/www/tvaudit/docroot/modules/custom/import_data/school_word/school_word.features.yml        1       0
/home/ashish/www/tvaudit/docroot/modules/custom/import_data/continent/continent.features.yml            1       0
/home/ashish/www/tvaudit/docroot/modules/custom/import_data/weather/weather.features.yml                1       0
/home/ashish/www/tvaudit/docroot/modules/custom/import_data/day_in_history/day_in_history.features.yml  1       0
/home/ashish/www/tvaudit/docroot/modules/custom/import_data/country/country.features.yml                1       0
.../ashish/www/tvaudit/docroot/modules/custom/import_data/word_of_the_day/word_of_the_day.features.yml  1       0
...odules/custom/mid_redirection/mid_redirect_rules/src/EventSubscriber/MidRedirectRulesSubscriber.php  157     10
...ish/www/tvaudit/docroot/modules/custom/mid_redirection/mid_redirect_rules/mid_redirect_rules.module  7       0
/home/ashish/www/tvaudit/docroot/modules/custom/mid_redirection/src/Controller/AdminController.php      928     26
/home/ashish/www/tvaudit/docroot/modules/custom/mid_redirection/src/Form/MidRedirectAdmin.php           88      4
/home/ashish/www/tvaudit/docroot/modules/custom/mid_redirection/mid_redirection.info.yml                1       0
/home/ashish/www/tvaudit/docroot/modules/custom/mid_redirection/mid_redirection.links.menu.yml          1       0
/home/ashish/www/tvaudit/docroot/modules/custom/mid_redirection/mid_redirection.permissions.yml         1       0
/home/ashish/www/tvaudit/docroot/modules/custom/mid_redirection/mid_redirection.install                 18      1
/home/ashish/www/tvaudit/docroot/modules/custom/mid_redirection/mid_redirection.module                  24      0
/home/ashish/www/tvaudit/docroot/modules/custom/mid_redirection/mid_redirection.routing.yml             1       0
/home/ashish/www/tvaudit/docroot/modules/custom/solr_search_alter/css/solr_search_alter.css             22      0
/home/ashish/www/tvaudit/docroot/modules/custom/solr_search_alter/css/searchfilter.css                  70      0
/home/ashish/www/tvaudit/docroot/modules/custom/solr_search_alter/solr_search_alter.info.yml            0       1
/home/ashish/www/tvaudit/docroot/modules/custom/solr_search_alter/src/QueryHelper.php                   21      2
/home/ashish/www/tvaudit/docroot/modules/custom/solr_search_alter/src/FeQuery.php                       6       0
/home/ashish/www/tvaudit/docroot/modules/custom/solr_search_alter/src/FenQueryFactory.php               17      0
/home/ashish/www/tvaudit/docroot/modules/custom/solr_search_alter/src/TvQuery.php                       10      1
.../ashish/www/tvaudit/docroot/modules/custom/solr_search_alter/src/Controller/TVHubPageController.php  69      6
/home/ashish/www/tvaudit/docroot/modules/custom/solr_search_alter/src/FenQuery.php                      28      2
/home/ashish/www/tvaudit/docroot/modules/custom/solr_search_alter/src/TwigExtension.php                 110     1
.../ashish/www/tvaudit/docroot/modules/custom/solr_search_alter/src/Plugin/Block/TvNodeCountHeader.php  3       3
.../ashish/www/tvaudit/docroot/modules/custom/solr_search_alter/src/Plugin/Block/TvSearchFilterNew.php  75      2
/home/ashish/www/tvaudit/docroot/modules/custom/solr_search_alter/src/Plugin/Block/TvSearchFilter.php   42      0
/home/ashish/www/tvaudit/docroot/modules/custom/solr_search_alter/src/Plugin/Block/TvSearchHeader.php   31      1
/home/ashish/www/tvaudit/docroot/modules/custom/solr_search_alter/src/Plugin/Block/TvChildTerms.php     51      0
/home/ashish/www/tvaudit/docroot/modules/custom/solr_search_alter/solr_search_alter.module              207     19
/home/ashish/www/tvaudit/docroot/modules/custom/solr_search_alter/solr_search_alter.libraries.yml       1       0
/home/ashish/www/tvaudit/docroot/modules/custom/cron_jobs/cron_jobs.module                              90      4
/home/ashish/www/tvaudit/docroot/modules/custom/ip_mcq/ip_mcq.permissions.yml                           1       0
/home/ashish/www/tvaudit/docroot/modules/custom/ip_mcq/src/Entity/Mcq.php                               26      0
/home/ashish/www/tvaudit/docroot/modules/custom/ip_mcq/src/Entity/Controller/McqFeedView.php            3       0
/home/ashish/www/tvaudit/docroot/modules/custom/ip_mcq/src/Entity/Controller/AdminController.php        58      0
/home/ashish/www/tvaudit/docroot/modules/custom/ip_mcq/src/Entity/Controller/McqListBuilder.php         1       0
/home/ashish/www/tvaudit/docroot/modules/custom/ip_mcq/src/McqAccessControlHandler.php                  3       0
/home/ashish/www/tvaudit/docroot/modules/custom/ip_mcq/src/McqInterface.php                             2       0
/home/ashish/www/tvaudit/docroot/modules/custom/ip_mcq/src/Form/McqDeleteForm.php                       1       0
/home/ashish/www/tvaudit/docroot/modules/custom/ip_mcq/src/Form/IpMcqCorrectAnswer.php                  8       2
/home/ashish/www/tvaudit/docroot/modules/custom/ip_mcq/src/Form/TakeMcqForm.php                         56      4
/home/ashish/www/tvaudit/docroot/modules/custom/ip_mcq/src/Category/CategoryController.php              53      5
/home/ashish/www/tvaudit/docroot/modules/custom/ip_mcq/src/Plugin/Block/McqRecent.php                   4       0
/home/ashish/www/tvaudit/docroot/modules/custom/ip_mcq/src/Plugin/Block/McqCategoryBlock.php            4       0
/home/ashish/www/tvaudit/docroot/modules/custom/ip_mcq/ip_mcq.install                                   36      1
/home/ashish/www/tvaudit/docroot/modules/custom/ip_mcq/ip_mcq.links.menu.yml                            1       0
/home/ashish/www/tvaudit/docroot/modules/custom/ip_mcq/ip_mcq.info.yml                                  1       0
/home/ashish/www/tvaudit/docroot/modules/custom/ip_mcq/ip_mcq.module                                    14      0
...ot/modules/custom/field_collection_service/src/EventSubscriber/FieldCollectionServiceSubscriber.php  18      0
...shish/www/tvaudit/docroot/modules/custom/field_collection_service/field_collection_service.info.yml  1       0
/home/ashish/www/tvaudit/docroot/modules/custom/favorites/src/Controller/MyFavController.php            137     2
/home/ashish/www/tvaudit/docroot/modules/custom/favorites/src/FavoriteStorage.php                       133     2
/home/ashish/www/tvaudit/docroot/modules/custom/favorites/src/Form/AddForm.php                          37      3
/home/ashish/www/tvaudit/docroot/modules/custom/favorites/src/Form/AddCollection.php                    302     7
/home/ashish/www/tvaudit/docroot/modules/custom/favorites/src/Plugin/Block/CollectionFavBlock.php       74      2
/home/ashish/www/tvaudit/docroot/modules/custom/favorites/src/Plugin/Block/FavBlock.php                 48      1
/home/ashish/www/tvaudit/docroot/modules/custom/favorites/src/Plugin/Block/FavCommon.php                19      2
/home/ashish/www/tvaudit/docroot/modules/custom/favorites/favorites.info.yml                            0       2
/home/ashish/www/tvaudit/docroot/modules/custom/favorites/favorites.install                             54      1
/home/ashish/www/tvaudit/docroot/modules/custom/favorites/favorites.module                              13      0
/home/ashish/www/tvaudit/docroot/modules/custom/fblikebutton/fblikebutton.info.yml                      0       2
/home/ashish/www/tvaudit/docroot/modules/custom/fblikebutton/src/Form/FblikebuttonFormSettings.php      51      6
/home/ashish/www/tvaudit/docroot/modules/custom/fblikebutton/src/Plugin/Block/FblikebuttonBlock.php     45      4
/home/ashish/www/tvaudit/docroot/modules/custom/fblikebutton/CHANGELOG.txt                              1       0
/home/ashish/www/tvaudit/docroot/modules/custom/fblikebutton/fblikebutton.theme                         2       0
/home/ashish/www/tvaudit/docroot/modules/custom/fblikebutton/README.txt                                 0       2
/home/ashish/www/tvaudit/docroot/modules/custom/fblikebutton/fblikebutton.module                        32      3
/home/ashish/www/tvaudit/docroot/modules/custom/fblikebutton/fblikebutton.install                       7       1
/home/ashish/www/tvaudit/docroot/modules/custom/dictionary/src/SynonymService.php                       20      0
...e/ashish/www/tvaudit/docroot/modules/custom/dictionary/src/Controller/DictionaryAdminController.php  13      1
/home/ashish/www/tvaudit/docroot/modules/custom/dictionary/src/Controller/SpellCheckController.php      47      1
/home/ashish/www/tvaudit/docroot/modules/custom/dictionary/src/Controller/PorterStemmer.php             130     1
/home/ashish/www/tvaudit/docroot/modules/custom/dictionary/src/Controller/DictionaryController.php      71      2
/home/ashish/www/tvaudit/docroot/modules/custom/dictionary/src/Controller/ThesaurusController.php       55      1
/home/ashish/www/tvaudit/docroot/modules/custom/dictionary/src/Form/DictionaryForm.php                  4       0
/home/ashish/www/tvaudit/docroot/modules/custom/dictionary/src/Form/ThesaurusForm.php                   5       1
/home/ashish/www/tvaudit/docroot/modules/custom/dictionary/src/Form/DictionarySpellCheckForm.php        5       0
/home/ashish/www/tvaudit/docroot/modules/custom/dictionary/src/Form/editword.php                        31      2
/home/ashish/www/tvaudit/docroot/modules/custom/dictionary/src/Plugin/Block/ThesaurusRelatedBlock.php   10      0
/home/ashish/www/tvaudit/docroot/modules/custom/dictionary/dictionary.module                            33      3
/home/ashish/www/tvaudit/docroot/modules/custom/dictionary/dictionary.info.yml                          0       1
/home/ashish/www/tvaudit/docroot/modules/custom/dictionary/dictionary.install                           2       2
/home/ashish/www/tvaudit/docroot/modules/custom/periodictable/src/Plugin/Block/PreviousNextBottom.php   114     1
/home/ashish/www/tvaudit/docroot/modules/custom/periodictable/src/Plugin/Block/PeriodictableBlock.php   229     3
/home/ashish/www/tvaudit/docroot/modules/custom/periodictable/src/Plugin/Block/PreviousNext.php         124     1
/home/ashish/www/tvaudit/docroot/modules/custom/periodictable/periodictable.module                      124     0
/home/ashish/www/tvaudit/docroot/modules/custom/migrate_files/migrate_files.info.yml                    1       1
/home/ashish/www/tvaudit/docroot/modules/custom/migrate_files/src/MigrateFilesRunBatch.php              216     4
/home/ashish/www/tvaudit/docroot/modules/custom/migrate_files/src/ContentType/Shorts.php                598     7
/home/ashish/www/tvaudit/docroot/modules/custom/migrate_files/src/ContentType/OpenAvenue.php            584     7
/home/ashish/www/tvaudit/docroot/modules/custom/migrate_files/src/ContentType/Article.php               866     11
/home/ashish/www/tvaudit/docroot/modules/custom/migrate_files/src/ContentType/OpenSpace.php             506     9
/home/ashish/www/tvaudit/docroot/modules/custom/migrate_files/src/ContentType/Toc.php                   728     11
/home/ashish/www/tvaudit/docroot/modules/custom/migrate_files/src/ContentType/OnTheWeb.php              313     6
/home/ashish/www/tvaudit/docroot/modules/custom/migrate_files/src/ContentType/AuthorVoices.php          253     8
/home/ashish/www/tvaudit/docroot/modules/custom/migrate_files/src/ContentType/Blog.php                  575     7
/home/ashish/www/tvaudit/docroot/modules/custom/migrate_files/src/MigrateAuthorBatch.php                189     4
...e/ashish/www/tvaudit/docroot/modules/custom/migrate_files/src/Controller/MigrateFilesController.php  5024    132
...shish/www/tvaudit/docroot/modules/custom/migrate_files/src/Controller/OpenspaceCleaupController.php  57      1
/home/ashish/www/tvaudit/docroot/modules/custom/migrate_files/src/Form/MigrateIncrementalForm.php       260     14
/home/ashish/www/tvaudit/docroot/modules/custom/migrate_files/src/Form/MigrateAuthorForm.php            19      5
/home/ashish/www/tvaudit/docroot/modules/custom/migrate_files/src/Form/MigrateFilesForm.php             246     15
/home/ashish/www/tvaudit/docroot/modules/custom/migrate_files/src/MigrateIncrementalRunBatch.php        143     5
/home/ashish/www/tvaudit/docroot/modules/custom/migrate_files/src/MigrateContent.php                    49      1
/home/ashish/www/tvaudit/docroot/modules/custom/migrate_files/migrate_files.routing.yml                 1       0
.../ashish/www/tvaudit/docroot/modules/custom/background_image/src/Controller/BackgroundController.php  255     0
/home/ashish/www/tvaudit/docroot/modules/custom/downloader/src/Controller/DownloaderController.php      4       0
/home/ashish/www/tvaudit/docroot/modules/custom/downloader/src/Form/DownloaderForm.php                  60      1
/home/ashish/www/tvaudit/docroot/modules/custom/downloader/downloader.info.yml                          0       1
/home/ashish/www/tvaudit/docroot/modules/custom/downloader/downloader.module                            22      2
/home/ashish/www/tvaudit/docroot/modules/custom/downloader/downloader.install                           15      1
/home/ashish/www/tvaudit/docroot/modules/custom/front_page_metatag/src/Form/InfoLinksConfigForm.php     4       1
/home/ashish/www/tvaudit/docroot/modules/custom/front_page_metatag/src/Form/FrontPageMetatagForm.php    0       1
...e/ashish/www/tvaudit/docroot/modules/custom/front_page_metatag/src/Form/HeaderBiddingConfigForm.php  4       1
/home/ashish/www/tvaudit/docroot/modules/custom/front_page_metatag/front_page_metatag.module            4       0
/home/ashish/www/tvaudit/docroot/modules/custom/ip_home/src/Controller/AlmanacSitemap.php               512     2
/home/ashish/www/tvaudit/docroot/modules/custom/ip_home/src/Controller/AlmanacSearch.php                438     3
/home/ashish/www/tvaudit/docroot/modules/custom/ip_home/src/TwigExtension.php                           9       1
/home/ashish/www/tvaudit/docroot/modules/custom/ip_home/src/Form/FMMenuSettingsForm.php                 3       1
/home/ashish/www/tvaudit/docroot/modules/custom/ip_home/src/Form/IPMenuSettingsForm.php                 3       1
/home/ashish/www/tvaudit/docroot/modules/custom/ip_home/src/Plugin/Block/YearByYearFormBlock.php        14      3
/home/ashish/www/tvaudit/docroot/modules/custom/ip_home/src/Plugin/Block/DailyAlmanac.php               28      1
/home/ashish/www/tvaudit/docroot/modules/custom/ip_home/src/Plugin/Block/TVHomeCalendar.php             20      0
/home/ashish/www/tvaudit/docroot/modules/custom/ip_home/src/Plugin/Block/TVEducatorCalendar.php         21      1
/home/ashish/www/tvaudit/docroot/modules/custom/ip_home/src/Plugin/Block/IPHomeBlock.php                11      2
/home/ashish/www/tvaudit/docroot/modules/custom/ip_home/ip_home.routing.yml                             1       0
/home/ashish/www/tvaudit/docroot/modules/custom/ip_home/ip_home.module                                  106     8
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/fen_newsletters.module                  58      5
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/css/fen_newsletters_admin.css           7       0
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Validator/ValidatorEmail.php        2       0
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Validator/EmailCheckMaropost.php    2       0
...www/tvaudit/docroot/modules/custom/fen_newsletters/src/EventSubscriber/FenNewslettersSubscriber.php  6       0
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Step/EmailSubscriber.php            11      2
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Step/AgeSubscriber.php              10      2
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Step/CompleteEmailSubscriber.php    0       2
...ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Step/CompleteEmailCheckSubscriber.php  4       2
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Step/StepsEnum.php                  2       0
...ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Controller/DirectManageController.php  19      4
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Controller/CommonController.php     44      1
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Controller/ByPassTVSubs.php         82      0
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Controller/UserLocation.php         46      0
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Controller/PregnancyController.php  37      1
...shish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Controller/UpdateResponsysContacts.php  11      0
...sh/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Controller/ManageNewsletterController.php  1       1
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Controller/SignupController.php     4       0
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Controller/AdminActions.php         159     12
...shish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Controller/MigrateResponsysContact.php  92      6
...sh/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Controller/ViewSubscriberSubscription.php  11      0
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Controller/Subscriptions.php        43      7
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Controller/ThankyouController.php   2       0
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Controller/ProfileNewsletter.php    2       0
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Form/SubscriptionForm.php           16      5
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Form/Helper.php                     16      0
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Form/NewsletterSettingsForm.php     29      1
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Form/MailSubscriptionForm.php       27      3
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Form/ManageSubscriberForm.php       35      7
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Form/SubscribeForm.php              38      5
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Form/SetLaunchDateForm.php          70      11
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Form/AdminManageSubscribers.php     32      5
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Form/SubscriberForm.php             9       1
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Form/UplaodAndSendTestMailForm.php  187     17
.../ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Form/AdminManageMailSubscription.php  4       0
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Lib/Notification/Responsys.php      55      0
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Lib/Notification/Contact.php        64      1
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Lib/Subscriber.php                  85      0
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Lib/SecurityTemplate.php            23      1
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Lib/Teachervision/Request.php       106     7
.../www/tvaudit/docroot/modules/custom/fen_newsletters/src/Lib/Teachervision/Subscription/FormHtml.php  245     0
...ww/tvaudit/docroot/modules/custom/fen_newsletters/src/Lib/Teachervision/Subscription/Adjustment.php  207     1
...t/docroot/modules/custom/fen_newsletters/src/Lib/Teachervision/Subscription/SubscriptionDetails.php  328     0
...ww/tvaudit/docroot/modules/custom/fen_newsletters/src/Lib/Teachervision/Subscription/WebSession.php  122     1
...tvaudit/docroot/modules/custom/fen_newsletters/src/Lib/Teachervision/Subscription/FreeTrialForm.php  261     7
...udit/docroot/modules/custom/fen_newsletters/src/Lib/Teachervision/Subscription/NewsletterSignUp.php  99      2
...dit/docroot/modules/custom/fen_newsletters/src/Lib/Teachervision/Subscription/PurchaseValidator.php  100     1
...audit/docroot/modules/custom/fen_newsletters/src/Lib/Teachervision/Subscription/AutoBillFactory.php  338     4
...h/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Lib/Teachervision/Subscription/Manager.php  251     8
...sh/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Lib/Teachervision/Subscription/Logger.php  23      0
...vaudit/docroot/modules/custom/fen_newsletters/src/Lib/Teachervision/Subscription/Adjustment/Log.php  110     1
...croot/modules/custom/fen_newsletters/src/Lib/Teachervision/Subscription/Adjustment/Log/Renderer.php  85      0
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Lib/Teachervision/Token.php         102     4
...ww/tvaudit/docroot/modules/custom/fen_newsletters/src/Lib/Teachervision/NewsletterCenter/Config.php  54      0
...dit/docroot/modules/custom/fen_newsletters/src/Lib/Teachervision/Navigation/NavigationInterface.php  17      0
...w/tvaudit/docroot/modules/custom/fen_newsletters/src/Lib/Teachervision/Navigation/Menu/MainMenu.php  175     141
